CLASS,CLASS_CODE,NAME,SECTOR,RES_CNT,DWELL_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MALE_CNT,FEMALE_CNT,MF_20_24,MF_25_34,MF_35_44,MF_45_54
Residual Sub Area,4,01B,NORTHWEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,01C,WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,01F,NORTHWEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,01H,WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,01I,WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,01K,NORTHWEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02B,NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02C,NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02E,NORTHWEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02F,NORTHWEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02K,NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02L,NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,03D,NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,03W,NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,05D,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,05E,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,05F,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,05G,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,06A,WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,06B,WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,06C,WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,09D,CENTRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,09H,EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,09K,EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,09O,EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,09P,EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,09Q,EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,10D,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,10E,NORTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12A,SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12B,SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12C,SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12I,SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12J,SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12K,SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12L,SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13A,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13B,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13C,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13D,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13E,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13F,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13G,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13H,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13I,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13J,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13L,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13M,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,ABBEYDALE,NORTHEAST,5957,2069,1356,1418,290,0,0,230,3056,2895,333,835,1004,792
Residential,1,ACADIA,SOUTH,10520,5046,2577,2282,132,1,2026,384,5310,5171,509,1659,1706,1339
