CLASS,CLASS_CODE,NAME,SECTOR,RES_CNT,DWELL_CNT,OWNSHP_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MALE_CNT,FEMALE_CNT,CLIENTS,Latitude,Longitude
Residential,1,ABBEYDALE,NORTHEAST,5957,2069,1356,1418,290,0,0,230,3056,2895,2964,51.0588364,-113.9294129
Residential,1,ACADIA,SOUTH,10520,5046,2577,2282,132,1,2026,384,5310,5171,5213,50.9686551,-114.0555871
Residential,1,ALBERT PARK/RADISSON HEIGHTS,EAST,6997,3010,819,909,474,27,794,346,3627,3360,3957,51.044845,-113.9901949
Residential,1,ALTADORE,CENTRE,6942,3285,1928,1367,633,27,625,462,3394,3535,3950,51.0151043,-114.1007564
Industrial,2,ALYTH/BONNYBROOK,CENTRE,0,11,0,9,0,0,0,0,0,0,0,51.0166688,-114.024294
Residential,1,APPLEWOOD PARK,EAST,6981,2415,1298,1371,20,1,804,132,3540,3419,3581,51.0446578,-113.9289305
Residential,1,ARBOUR LAKE,NORTHWEST,10619,3937,3193,2682,174,0,683,61,5168,5422,4763,51.1367865,-114.2023554
Residential,1,ASPEN WOODS,WEST,9446,3068,2455,2202,13,1,341,507,4650,4767,4872,51.0431192,-114.2101852
Residential,1,AUBURN BAY,SOUTHEAST,17607,6046,4342,3790,611,1,887,743,8722,8831,9839,50.8906047,-113.9595647
Industrial,2,AURORA BUSINESS PARK,NORTH,0,0,0,0,0,0,0,0,0,0,0,51.1405494,-114.0627072
Residential,1,BANFF TRAIL,CENTRE,4153,1949,649,997,286,11,120,14,2255,1845,2801,51.0714621,-114.1116473
Residential,1,BANKVIEW,CENTRE,5256,3531,826,483,115,50,2443,244,2686,2553,4040,51.0338869,-114.0995178
Residential,1,BAYVIEW,SOUTH,751,248,236,212,0,0,0,36,359,392,279,50.9735771,-114.1125609
Residential,1,BEDDINGTON HEIGHTS,NORTH,11514,4405,2961,2599,923,7,37,639,5730,5748,5654,51.1285977,-114.0821988
Residential,1,BEL-AIRE,CENTRE,390,159,134,159,0,0,0,0,184,197,126,50.9996931,-114.0868109
Residential,1,BELMONT,SOUTH,86,229,28,114,0,0,0,115,29,24,47,50.868495,-114.0627734
Residential,1,BELTLINE,CENTRE,25129,18308,3880,71,7,8,17771,341,13040,11302,20543,51.0404978,-114.0725934
Residential,1,BELVEDERE,EAST,41,15,0,15,0,0,0,0,0,0,0,51.0384389,-113.9062928
Residential,1,BONAVISTA DOWNS,SOUTH,928,378,292,368,0,0,0,0,488,437,468,50.9446559,-114.0305504
Residential,1,BOWNESS,NORTHWEST,11150,5398,2523,2370,903,77,670,905,5547,5566,5784,51.0892766,-114.1930754
Residential,1,BRAESIDE,SOUTH,5805,2562,1815,1402,76,0,161,905,2842,2943,2791,50.9557843,-114.1068165
Residential,1,BRENTWOOD,NORTHWEST,7267,3332,1629,1979,0,83,912,260,3646,3605,4037,51.0930748,-114.1260514
Residential,1,BRIDGELAND/RIVERSIDE,CENTRE,6835,3988,1364,869,118,45,2490,226,3273,3549,3920,51.0538013,-114.0443096
Residential,1,BRIDLEWOOD,SOUTH,12641,4218,3192,2864,305,3,792,205,6209,6399,6734,50.9007131,-114.1105152
Residential,1,BRITANNIA,CENTRE,690,313,226,256,0,0,57,0,340,345,250,51.0125403,-114.0834469
Industrial,2,BURNS INDUSTRIAL,CENTRE,0,2,0,0,0,0,0,0,0,0,0,51.0010615,-114.037984
Industrial,2,CALGARY INTERNATIONAL AIRPORT,NORTHEAST,0,3,0,0,0,0,0,0,0,0,0,51.120751,-114.01057234296194
Residential,1,CAMBRIAN HEIGHTS,CENTRE,2036,939,531,611,138,37,16,56,1024,1008,1003,51.0871956,-114.088976
Major Park,3,CANADA OLYMPIC PARK,WEST,0,0,0,0,0,0,0,0,0,0,0,51.08093875,-114.21637385647395
Residential,1,CANYON MEADOWS,SOUTH,7624,3213,2379,1958,152,0,333,711,3820,3786,3676,50.9428254,-114.0832303
